area_code	areatype_code	area_name
0000000	N	National	
0010180	M	Abilene, TX	
0010380	M	Aguadilla-Isabela-San Sebastian, PR	
0010420	M	Akron, OH	
0010500	M	Albany, GA	
0010580	M	Albany-Schenectady-Troy, NY	
0010740	M	Albuquerque, NM	
0010780	M	Alexandria, LA	
0010900	M	Allentown-Bethlehem-Easton, PA-NJ	
0011020	M	Altoona, PA	
0011100	M	Amarillo, TX	
0011180	M	Ames, IA	
0011260	M	Anchorage, AK	
0011300	M	Anderson, IN	
0011340	M	Anderson, SC	
0011460	M	Ann Arbor, MI	
0011500	M	Anniston-Oxford, AL	
0011540	M	Appleton, WI	
0011700	M	Asheville, NC	
0012020	M	Athens-Clarke County, GA	
0012060	M	Atlanta-Sandy Springs-Marietta, GA	
0012100	M	Atlantic City-Hammonton, NJ	
0012220	M	Auburn-Opelika, AL	
0012260	M	Augusta-Richmond County, GA-SC	
0012420	M	Austin-Round Rock-San Marcos, TX	
0012540	M	Bakersfield-Delano, CA	
0012580	M	Baltimore-Towson, MD	
0012940	M	Baton Rouge, LA	
0012980	M	Battle Creek, MI	
0013020	M	Bay City, MI	
0013140	M	Beaumont-Port Arthur, TX	
0013380	M	Bellingham, WA	
0013460	M	Bend, OR	
0013644	M	Bethesda-Rockville-Frederick, MD Metropolitan Division	
0013740	M	Billings, MT	
0013780	M	Binghamton, NY	
0013820	M	Birmingham-Hoover, AL	
0013900	M	Bismarck, ND	
0013980	M	Blacksburg-Christiansburg-Radford, VA	
0014020	M	Bloomington, IN	
0014060	M	Bloomington-Normal, IL	
0014260	M	Boise City-Nampa, ID	
0014500	M	Boulder, CO	
0014540	M	Bowling Green, KY	
0014740	M	Bremerton-Silverdale, WA	
0015180	M	Brownsville-Harlingen, TX	
0015260	M	Brunswick, GA	
0015380	M	Buffalo-Niagara Falls, NY	
0015500	M	Burlington, NC	
0015804	M	Camden, NJ Metropolitan Division	
0015940	M	Canton-Massillon, OH	
0015980	M	Cape Coral-Fort Myers, FL	
0016020	M	Cape Girardeau-Jackson, MO-IL	
0016180	M	Carson City, NV	
0016220	M	Casper, WY	
0016300	M	Cedar Rapids, IA	
0016580	M	Champaign-Urbana, IL	
0016620	M	Charleston, WV	
0016700	M	Charleston-North Charleston-Summerville, SC	
0016740	M	Charlotte-Gastonia-Rock Hill, NC-SC	
0016820	M	Charlottesville, VA	
0016860	M	Chattanooga, TN-GA	
0016940	M	Cheyenne, WY	
0016974	M	Chicago-Joliet-Naperville, IL Metropolitan Division	
0016980	M	Chicago-Joliet-Naperville, IL-IN-WI	
0017020	M	Chico, CA	
0017140	M	Cincinnati-Middletown, OH-KY-IN	
0017300	M	Clarksville, TN-KY	
0017420	M	Cleveland, TN	
0017460	M	Cleveland-Elyria-Mentor, OH	
0017660	M	Coeur d'Alene, ID	
0017780	M	College Station-Bryan, TX	
0017820	M	Colorado Springs, CO	
0017860	M	Columbia, MO	
0017900	M	Columbia, SC	
0017980	M	Columbus, GA-AL	
0018020	M	Columbus, IN	
0018140	M	Columbus, OH	
0018580	M	Corpus Christi, TX	
