industry_code	industry_name	display_level	selectable	sort_sequence
000000	Cross-industry, private, federal, state, and local	3	T	1	
000001	Cross-industry, private ownership only	1	T	2	
11--12	Sector 11 - Agriculture, Forestry, Fishing and Hunting	2	T	3	
113000	Forestry and Logging	3	T	4	
113300	Logging	4	T	5	
115000	Support Activities for Agriculture and Forestry	3	T	6	
115100	Support Activities for Crop Production	4	T	7	
115200	Support Activities for Animal Production	4	T	8	
21--22	Sector 21 - Mining	2	T	9	
211000	Oil and Gas Extraction	3	T	10	
211100	Oil and Gas Extraction	4	T	11	
212000	Mining (except Oil and Gas)	3	T	12	
212100	Coal Mining	4	T	13	
212200	Metal Ore Mining	4	T	14	
212300	Nonmetallic Mineral Mining and Quarrying	4	T	15	
213000	Support Activities for Mining	3	T	16	
213100	Support Activities for Mining	4	T	17	
22--23	Sector 22 - Utilities	2	T	18	
221000	Utilities	3	T	19	
221100	Electric Power Generation, Transmission and Distribution	4	T	20	
221200	Natural Gas Distribution	4	T	21	
221300	Water, Sewage and Other Systems	4	T	22	
23--24	Sector 23 - Construction	2	T	23	
236000	Construction of Buildings	3	T	24	
236100	Residential Building Construction	4	T	25	
236200	Nonresidential Building Construction	4	T	26	
237000	Heavy and Civil Engineering Construction	3	T	27	
237100	Utility System Construction	4	T	28	
237130	Power and Communication Line and Related Structures Construction	5	T	29	
237200	Land Subdivision	4	T	30	
237300	Highway, Street, and Bridge Construction	4	T	31	
237900	Other Heavy and Civil Engineering Construction	4	T	32	
238000	Specialty Trade Contractors	3	T	33	
238100	Foundation, Structure, and Building Exterior Contractors	4	T	34	
238110	Poured Concrete Foundation and Structure Contractors	5	T	35	
238140	Masonry Contractors	5	T	36	
238160	Roofing Contractors	5	T	37	
238200	Building Equipment Contractors	4	T	38	
238210	Electrical Contractors and Other Wiring Installation Contractors	5	T	39	
238220	Plumbing, Heating, and Air-Conditioning Contractors	5	T	40	
238290	Other Building Equipment Contractors	5	T	41	
238300	Building Finishing Contractors	4	T	42	
238310	Drywall and Insulation Contractors	5	T	43	
238320	Painting and Wall Covering Contractors	5	T	44	
238900	Other Specialty Trade Contractors	4	T	45	
31--34	Sectors 31, 32, and 33 - Manufacturing	2	T	46	
311000	Food Manufacturing	3	T	47	
311100	Animal Food Manufacturing	4	T	48	
311200	Grain and Oilseed Milling	4	T	49	
311300	Sugar and Confectionery Product Manufacturing	4	T	50	
311400	Fruit and Vegetable Preserving and Specialty Food Manufacturing	4	T	51	
311500	Dairy Product Manufacturing	4	T	52	
311600	Animal Slaughtering and Processing	4	T	53	
311700	Seafood Product Preparation and Packaging	4	T	54	
311800	Bakeries and Tortilla Manufacturing	4	T	55	
311900	Other Food Manufacturing	4	T	56	
312000	Beverage and Tobacco Product Manufacturing	3	T	57	
312100	Beverage Manufacturing	4	T	58	
312200	Tobacco Manufacturing	4	T	59	
313000	Textile Mills	3	T	60	
313100	Fiber, Yarn, and Thread Mills	4	T	61	
313200	Fabric Mills	4	T	62	
313300	Textile and Fabric Finishing and Fabric Coating Mills	4	T	63	
314000	Textile Product Mills	3	T	64	
314100	Textile Furnishings Mills	4	T	65	
314900	Other Textile Product Mills	4	T	66	
315000	Apparel Manufacturing	3	T	67	
315100	Apparel Knitting Mills	4	T	68	
315200	Cut and Sew Apparel Manufacturing	4	T	69	
315900	Apparel Accessories and Other Apparel Manufacturing	4	T	70	
316000	Leather and Allied Product Manufacturing	3	T	71	
316100	Leather and Hide Tanning and Finishing	4	T	72	
316200	Footwear Manufacturing	4	T	73	
316900	Other Leather and Allied Product Manufacturing	4	T	74	
321000	Wood Product Manufacturing	3	T	75	
321100	Sawmills and Wood Preservation	4	T	76	
321200	Veneer, Plywood, and Engineered Wood Product Manufacturing	4	T	77	
321900	Other Wood Product Manufacturing	4	T	78	
322000	Paper Manufacturing	3	T	79	
322100	Pulp, Paper, and Paperboard Mills	4	T	80	
322200	Converted Paper Product Manufacturing	4	T	81	
323000	Printing and Related Support Activities	3	T	82	
323100	Printing and Related Support Activities	4	T	83	
324000	Petroleum and Coal Products Manufacturing	3	T	84	
324100	Petroleum and Coal Products Manufacturing	4	T	85	
325000	Chemical Manufacturing	3	T	86	
325100	Basic Chemical Manufacturing	4	T	87	
325200	Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing	4	T	88	
325300	Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing	4	T	89	
325400	Pharmaceutical and Medicine Manufacturing	4	T	90	
325500	Paint, Coating, and Adhesive Manufacturing	4	T	91	
325600	Soap, Cleaning Compound, and Toilet Preparation Manufacturing	4	T	92	
325900	Other Chemical Product and Preparation Manufacturing	4	T	93	
326000	Plastics and Rubber Products Manufacturing	3	T	94	
326100	Plastics Product Manufacturing	4	T	95	
326200	Rubber Product Manufacturing	4	T	96	
327000	Nonmetallic Mineral Product Manufacturing	3	T	97	
327100	Clay Product and Refractory Manufacturing	4	T	98	
327200	Glass and Glass Product Manufacturing	4	T	99	
327300	Cement and Concrete Product Manufacturing	4	T	100	
327400	Lime and Gypsum Product Manufacturing	4	T	101	
327900	Other Nonmetallic Mineral Product Manufacturing	4	T	102	
