occupation_code	occupation_name	display_level	selectable	sort_sequence
000000	All Occupations	0	T	1	
110000	Management Occupations	0	T	2	
111000	Top Executives	1	T	3	
111011	Chief Executives	3	T	4	
111021	General and Operations Managers	3	T	5	
111031	Legislators	3	T	6	
112000	Advertising, Marketing, Promotions, Public Relations, and Sales Managers	1	T	7	
112011	Advertising and Promotions Managers	3	T	8	
112020	Marketing and Sales Managers	2	T	9	
112021	Marketing Managers	3	T	10	
112022	Sales Managers	3	T	11	
112031	Public Relations and Fundraising Managers	3	T	12	
113000	Operations Specialties Managers	1	T	13	
113011	Administrative Services Managers	3	T	14	
113021	Computer and Information Systems Managers	3	T	15	
113031	Financial Managers	3	T	16	
113051	Industrial Production Managers	3	T	17	
113061	Purchasing Managers	3	T	18	
113071	Transportation, Storage, and Distribution Managers	3	T	19	
113111	Compensation and Benefits Managers	3	T	20	
113121	Human Resources Managers	3	T	21	
113131	Training and Development Managers	3	T	22	
119000	Other Management Occupations	1	T	23	
119013	Farmers, Ranchers, and Other Agricultural Managers	3	T	24	
119021	Construction Managers	3	T	25	
119030	Education Administrators	2	T	26	
119031	Education Administrators, Preschool and Childcare Center/Program	3	T	27	
119032	Education Administrators, Elementary and Secondary School	3	T	28	
119033	Education Administrators, Postsecondary	3	T	29	
119039	Education Administrators, All Other	3	T	30	
119041	Architectural and Engineering Managers	3	T	31	
119051	Food Service Managers	3	T	32	
119061	Funeral Service Managers	3	T	33	
119071	Gaming Managers	3	T	34	
119081	Lodging Managers	3	T	35	
119111	Medical and Health Services Managers	3	T	36	
119121	Natural Sciences Managers	3	T	37	
119131	Postmasters and Mail Superintendents	3	T	38	
119141	Property, Real Estate, and Community Association Managers	3	T	39	
119151	Social and Community Service Managers	3	T	40	
119161	Emergency Management Directors	3	T	41	
119199	Managers, All Other	3	T	42	
130000	Business and Financial Operations Occupations	0	T	43	
131000	Business Operations Specialists	1	T	44	
131011	Agents and Business Managers of Artists, Performers, and Athletes	3	T	45	
131020	Buyers and Purchasing Agents	2	T	46	
131021	Buyers and Purchasing Agents, Farm Products	3	T	47	
131022	Wholesale and Retail Buyers, Except Farm Products	3	T	48	
131023	Purchasing Agents, Except Wholesale, Retail, and Farm Products	3	T	49	
131030	Claims Adjusters, Appraisers, Examiners, and Investigators	2	T	50	
131031	Claims Adjusters, Examiners, and Investigators	3	T	51	
131032	Insurance Appraisers, Auto Damage	3	T	52	
131041	Compliance Officers	3	T	53	
131051	Cost Estimators	3	T	54	
131070	Human Resources Workers	2	T	55	
131071	Human Resources Specialists	3	T	56	
131074	Farm Labor Contractors	3	T	57	
131075	Labor Relations Specialists	3	T	58	
131081	Logisticians	3	T	59	
131111	Management Analysts	3	T	60	
131121	Meeting, Convention, and Event Planners	3	T	61	
131131	Fundraisers	3	T	62	
131141	Compensation, Benefits, and Job Analysis Specialists	3	T	63	
131151	Training and Development Specialists	3	T	64	
131161	Market Research Analysts and Marketing Specialists	3	T	65	
131199	Business Operations Specialists, All Other	3	T	66	
132000	Financial Specialists	1	T	67	
132011	Accountants and Auditors	3	T	68	
132021	Appraisers and Assessors of Real Estate	3	T	69	
